GROTO.ST.HL01.MMXU1,PPV,GROTO.Sel2701a.Sel2032.030.1.36,5,1,1,3000,1,32767,-32767,327.67,-327.67
GROTO.ST.HL01.MMXU1.PPV,phsAB,GROTO.Sel2701a.Sel2032.030.1.32,5,1,1,3000,1,32767,-32767,327.67,-327.67
GROTO.ST.HL01.MMXU1.PPV,phsBC,GROTO.Sel2701a.Sel2032.030.1.33,5,1,1,3000,1,32767,-32767,327.67,-327.67
GROTO.ST.HL01.MMXU1.PPV,phsCA,GROTO.Sel2701a.Sel2032.030.1.34,5,1,1,3000,1,32767,-32767,327.67,-327.67
GROTO.ST.HL01.MMXU1,TotPF,GROTO.Sel2701a.Sel2032.030.1.28,5,1,1,3000,1,32767,-32767,32.767,-32.767
GROTO.ST.HL01.MMXU1,TotVA,GROTO.Sel2701a.Sel2032.030.1.35,5,1,1,3000,1,32767,-32767,327.67,-327.67
GROTO.ST.HL01.MMXU1,TotVAr,GROTO.Sel2701a.Sel2032.030.1.27,5,1,1,3000,1,32767,-32767,327.67,-327.67
GROTO.ST.HL01.MMXU1,TotW,GROTO.Sel2701a.Sel2032.030.1.26,5,1,1,3000,1,32767,-32767,327.67,-327.67
GROTO.ST.HL02.MMXU1,A,GROTO.Sel2701a.Sel2032.030.1.53,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HL02.MMXU1.A,phsA,GROTO.Sel2701a.Sel2032.030.1.45,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HL02.MMXU1.A,phsB,GROTO.Sel2701a.Sel2032.030.1.46,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HL02.MMXU1.A,phsC,GROTO.Sel2701a.Sel2032.030.1.47,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HL02.MMXU1,PPV,GROTO.Sel2701a.Sel2032.030.1.52,5,1,1,3000,1,32767,-32767,327.67,-327.67
GROTO.ST.HL02.MMXU1.PPV,phsAB,GROTO.Sel2701a.Sel2032.030.1.48,5,1,1,3000,1,32767,-32767,327.67,-327.67
GROTO.ST.HL02.MMXU1.PPV,phsBC,GROTO.Sel2701a.Sel2032.030.1.49,5,1,1,3000,1,32767,-32767,327.67,-327.67
GROTO.ST.HL02.MMXU1.PPV,phsCA,GROTO.Sel2701a.Sel2032.030.1.50,5,1,1,3000,1,32767,-32767,327.67,-327.67
GROTO.ST.HL02.MMXU1,TotPF,GROTO.Sel2701a.Sel2032.030.1.44,5,1,1,3000,1,32767,-32767,32.767,-32.767
GROTO.ST.HL02.MMXU1,TotVA,GROTO.Sel2701a.Sel2032.030.1.51,5,1,1,3000,1,32767,-32767,327.67,-327.67
GROTO.ST.HL02.MMXU1,TotVAr,GROTO.Sel2701a.Sel2032.030.1.43,5,1,1,3000,1,32767,-32767,327.67,-327.67
GROTO.ST.HL02.MMXU1,TotW,GROTO.Sel2701a.Sel2032.030.1.42,5,1,1,3000,1,32767,-32767,327.67,-327.67
GROTO.ST.HRC1.MMXU1,A,GROTO.Sel2701a.Sel2032.030.1.74,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HRC1.MMXU1.A,phsA,GROTO.Sel2701a.Sel2032.030.1.76,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HRC1.MMXU1.A,phsB,GROTO.Sel2701a.Sel2032.030.1.77,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HRC1.MMXU1.A,phsC,GROTO.Sel2701a.Sel2032.030.1.78,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HRC1.MMXU1,TotVAr,GROTO.Sel2701a.Sel2032.030.1.75,5,1,1,3000,1,32767,-32767,327.67,-327.67
GROTO.ST.HRC1.QA1MMXU1,A,GROTO.Sel2701a.Sel2032.030.1.84,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HRC1.QA1MMXU1.A,phsA,GROTO.Sel2701a.Sel2032.030.1.86,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HRC1.QA1MMXU1.A,phsB,GROTO.Sel2701a.Sel2032.030.1.87,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HRC1.QA1MMXU1.A,phsC,GROTO.Sel2701a.Sel2032.030.1.88,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HRC1.QA1MMXU1,TotVAr,GROTO.Sel2701a.Sel2032.030.1.85,5,1,1,3000,1,32767,-32767,327.67,-327.67
GROTO.ST.HRC1.QA2MMXU1,A,GROTO.Sel2701a.Sel2032.030.1.94,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HRC1.QA2MMXU1.A,phsA,GROTO.Sel2701a.Sel2032.030.1.96,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HRC1.QA2MMXU1.A,phsB,GROTO.Sel2701a.Sel2032.030.1.97,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HRC1.QA2MMXU1.A,phsC,GROTO.Sel2701a.Sel2032.030.1.98,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HRC1.QA2MMXU1,TotVAr,GROTO.Sel2701a.Sel2032.030.1.95,5,1,1,3000,1,32767,-32767,327.67,-327.67
GROTO.ST.HT1.MMXU1,A,GROTO.Sel2701a.Sel2032.030.1.69,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HT1.MMXU1.A,phsA,GROTO.Sel2701a.Sel2032.030.1.61,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HT1.MMXU1.A,phsB,GROTO.Sel2701a.Sel2032.030.1.62,5,1,1,3000,1,32767,-32767,32767,-32767
GROTO.ST.HT1.MMXU1.A,phsC,GROTO.Sel2701a.Sel2032.030.1.63,5,1,1,3000,1,32767,-32767,32767,-32767
